Name,Color Mode,Color Diversity,Color Intensity,Color Harmony,Proximity Contrast,Depth,Value Contrast,Average Value,Lines,Balance,Movement,Empty Space,Perspective,Brushstroke Control,Brushstroke Visibility,Outlines
The City - Leger.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Eiffel Tower - Delaunay.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
The Green Violinist - Chagall.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Open Window - Gris.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Portuguese - Braque.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
The Reservoir - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
The Round Table - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,,Stark Color Contrast,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
The Table - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Three Musicians - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Low Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Three Women - Picasso.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,,Shallow Depth,Normal Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Violin and Candlestick - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,High Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Violin and Checkerboard - Gris.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,High Contrast,Balanced Value,Indistinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Violin and Guitar - Gris.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Violin and Palette - Braque.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Woman in Hat with a Fur Collar - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,High Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Woman with Guitar - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,,Flat Depth,Normal Contrast,Dark Value,Indistinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Zapata-style Landscape - Rivera.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,,Shallow Depth,Normal Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Guitar on a table - Gris.jpeg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
All Saints - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
All Saints I - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,True Tone,,,Flat Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Blue Horse I - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Blue Horses - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Boy Leading a Horse - Picasso.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Castle and Sun - Klee.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Low Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Death in a Sickroom - Munch.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,,Blended Color Contrast,Normal/Regular Depth,Low Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Dog Lying in the Snow - Marc.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Evening on Karl Johan Street - Munch.jpg,Expressionistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Deep Depth,High Contrast,Balanced Value,Intermediate Lines,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Fighting Forms - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Flat Depth,High Contrast,Balanced Value,Indistinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girls on the Bridge - Munch.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Removed Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Grazing Horses IV - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Harmony in Red - Matisse.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Hermits - Schiele.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Improvisation 28 - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Flat Depth,High Contrast,Balanced Value,Intermediate Lines,Highly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
L'Atelier Rouge - Matisse.jpg,Expressionistic Color,Monochrome Hue,Vibrant Tone,,Stark Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Little Blue Horse - Marc.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Love and Pain - Munch.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
Migrants - Portinari.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Nude at Rest - Balthus.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Nude Sitting on a Divan - Modigliani.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Portrait of Luna Czechowski - Modigliani.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,,Flat Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Portrait of Wally - Schiele.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Flat Depth,High Contrast,Light Value,Intermediate Lines,Mostly Imbalanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Potsdamer Platz - Kirchner.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Intermediate Lines,Highly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Puberty - Munch.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Seated Male Nude - Schiele.jpg,Expressionistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Light Value,Distinct Lines,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Seated Nude - Modigliani.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Seated Woman with Bent Knee - Schiele.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait - Picasso.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Flat Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Self Portrait as a Soldier - Kirchner.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Self Portrait with Chinese Lantern Plant - Schiele.jpg,Expressionistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Light Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
Small Pleasures - Kandinsky.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Street Berlin - Kirchner.jpg,Expressionistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Light/No Outlines
